"","id","feed_type","social_compare","neg_affect"
"1",1,"FitInfluencer","High_Compare",13
"2",2,"FitInfluencer","High_Compare",15
"3",3,"FitInfluencer","High_Compare",13
"4",4,"FitInfluencer","High_Compare",14
"5",5,"FitInfluencer","High_Compare",15
"6",6,"FitInfluencer","High_Compare",16
"7",7,"FitInfluencer","High_Compare",15
"8",8,"FitInfluencer","High_Compare",14
"9",9,"FitInfluencer","High_Compare",16
"10",10,"FitInfluencer","High_Compare",14
"11",11,"FitInfluencer","Low_Compare",18
"12",12,"FitInfluencer","Low_Compare",15
"13",13,"FitInfluencer","Low_Compare",20
"14",14,"FitInfluencer","Low_Compare",14
"15",15,"FitInfluencer","Low_Compare",17
"16",16,"FitInfluencer","Low_Compare",17
"17",17,"FitInfluencer","Low_Compare",15
"18",18,"FitInfluencer","Low_Compare",17
"19",19,"FitInfluencer","Low_Compare",15
"20",20,"FitInfluencer","Low_Compare",13
"21",21,"CloseFriends","High_Compare",6
"22",22,"CloseFriends","High_Compare",7
"23",23,"CloseFriends","High_Compare",5
"24",24,"CloseFriends","High_Compare",3
"25",25,"CloseFriends","High_Compare",7
"26",26,"CloseFriends","High_Compare",3
"27",27,"CloseFriends","High_Compare",7
"28",28,"CloseFriends","High_Compare",6
"29",29,"CloseFriends","High_Compare",7
"30",30,"CloseFriends","High_Compare",7
"31",31,"CloseFriends","Low_Compare",10
"32",32,"CloseFriends","Low_Compare",9
"33",33,"CloseFriends","Low_Compare",10
"34",34,"CloseFriends","Low_Compare",4
"35",35,"CloseFriends","Low_Compare",10
"36",36,"CloseFriends","Low_Compare",7
"37",37,"CloseFriends","Low_Compare",8
"38",38,"CloseFriends","Low_Compare",10
"39",39,"CloseFriends","Low_Compare",5
"40",40,"CloseFriends","Low_Compare",9
"41",41,"ASMR","High_Compare",8
"42",42,"ASMR","High_Compare",9
"43",43,"ASMR","High_Compare",2
"44",44,"ASMR","High_Compare",6
"45",45,"ASMR","High_Compare",5
"46",46,"ASMR","High_Compare",8
"47",47,"ASMR","High_Compare",8
"48",48,"ASMR","High_Compare",6
"49",49,"ASMR","High_Compare",6
"50",50,"ASMR","High_Compare",4
"51",51,"ASMR","Low_Compare",12
"52",52,"ASMR","Low_Compare",13
"53",53,"ASMR","Low_Compare",15
"54",54,"ASMR","Low_Compare",11
"55",55,"ASMR","Low_Compare",15
"56",56,"ASMR","Low_Compare",12
"57",57,"ASMR","Low_Compare",14
"58",58,"ASMR","Low_Compare",16
"59",59,"ASMR","Low_Compare",16
"60",60,"ASMR","Low_Compare",13
